,lat,lng,desc,zip,title,timeStamp,twp,e
85616,40.130193299999995,-75.12397109999999,PROSPECT AVE & WASHINGTON AVE;  ABINGTON; Station 381; 2017-03-01 @ 12:14:13;,19090,EMS: SYNCOPAL EPISODE,2017-03-01 12:17:02,ABINGTON,1
85617,40.2309343,-75.5221245,LONGVIEW RD & RR UNDERPASS;  LIMERICK; Station 324A; 2017-03-01 @ 12:30:36;,19468,EMS: NAUSEA/VOMITING,2017-03-01 12:32:00,LIMERICK,1
85618,40.0220201,-75.24073620000001,HARVEST CIR & SMITH DR;  LOWER MERION; Station 313; 2017-03-01 @ 12:27:50;,19004,EMS: RESPIRATORY EMERGENCY,2017-03-01 12:32:00,LOWER MERION,1
85619,40.226988,-75.1644661,PARK RD & W COUNTY LINE RD;  HORSHAM; Station 352; 2017-03-01 @ 12:39:09;,18976,EMS: CVA/STROKE,2017-03-01 12:42:01,HORSHAM,1
85620,40.1537535,-75.1216041,EASTON RD & LAWNTON RD;  UPPER MORELAND; Station 381; 2017-03-01 @ 12:40:56;,19090,EMS: FALL VICTIM,2017-03-01 12:46:01,UPPER MORELAND,1
85621,40.1138125,-75.3451199,LAFAYETTE ST & SWEDE ST;  NORRISTOWN; Station 308A; 2017-03-01 @ 12:47:24;,19401,EMS: SEIZURES,2017-03-01 12:52:01,NORRISTOWN,1
85622,40.25117410000001,-75.6439755,EVANS ST & JEFFERSON AVE;  POTTSTOWN; Station 329; 2017-03-01 @ 12:59:30;,19464,EMS: SEIZURES,2017-03-01 13:02:00,POTTSTOWN,1
85623,40.0665965,-75.12024840000001,BROOKVIEW PL & ASHBOURNE RD;  CHELTENHAM; Station 358; 2017-03-01 @ 12:59:55;,19027,EMS: NAUSEA/VOMITING,2017-03-01 13:02:01,CHELTENHAM,1
85624,39.998215,-75.27129000000001,WYNNEWOOD RD & LANCASTER AVE;  LOWER MERION; Station 313; 2017-03-01 @ 12:59:00;,19096,EMS: OVERDOSE,2017-03-01 13:02:01,LOWER MERION,1
85625,40.115248799999996,-75.34137890000001,DEKALB ST;  NORRISTOWN; Station 308A; 2017-03-01 @ 12:57:24;,,EMS: HEAD INJURY,2017-03-01 13:02:02,NORRISTOWN,1
85626,40.28028629999999,-75.39571670000001,MONTGOMERY DR & HAMILTON DR;  LOWER SALFORD; Station 344; 2017-03-01 @ 13:08:46;,19438,EMS: ABDOMINAL PAINS,2017-03-01 13:12:00,LOWER SALFORD,1
85627,40.123917,-75.117162,OLD YORK RD & LONDON RD;  ABINGTON; Station 381; 2017-03-01 @ 13:10:29;,19001,EMS: RESPIRATORY EMERGENCY,2017-03-01 13:12:00,ABINGTON,1
85628,40.0247354,-75.3189319,MONTGOMERY AVE & N MERION AVE;  LOWER MERION; Station 313; 2017-03-01 @ 13:16:06;,19010,EMS: UNCONSCIOUS SUBJECT,2017-03-01 13:21:01,LOWER MERION,1
85629,40.2641128,-75.61943690000001,KAUFFMAN RD & CINDY DR;  LOWER POTTSGROVE; Station 329B; 2017-03-01 @ 13:23:03;,19464,EMS: BURN VICTIM,2017-03-01 13:26:02,LOWER POTTSGROVE,1
85630,40.289991,-75.3762776,MAPLE AVE & WOODSEDGE DR;  FRANCONIA; Station 344; 2017-03-01 @ 13:21:39;,19438,EMS: HEAD INJURY,2017-03-01 13:26:02,FRANCONIA,1
